Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C,22,TOR,73,1725,12.7,.503,.259,.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,.070,,-2.0,-0.6,-2.6,-0.2,achiupr01
2,Steven Adams,C,28,MEM,76,1999,17.6,.560,.003,.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,,3.8,3.0,6.8,.163,,1.0,1.0,2.0,2.0,adamsst01
3,Bam Adebayo,C,24,MIA,56,1825,21.8,.608,.008,.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,,3.6,3.5,7.2,.188,,1.7,2.1,3.8,2.7,adebaba01
4,Santi Aldama,PF,21,MEM,32,360,10.2,.452,.364,.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,.044,,-4.2,-1.5,-5.7,-0.3,aldamsa01
5,LaMarcus Aldridge,C,36,BRK,47,1050,19.6,.604,.100,.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,,2.1,1.0,3.1,.141,,1.3,-0.6,0.7,0.7,aldrila01
6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,.475,.497,.160,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,.003,,-1.8,-1.1,-2.9,-0.3,alexani01
7,Grayson Allen,SG,26,MIL,66,1805,12.7,.609,.684,.130,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,,2.8,1.4,4.2,.110,,0.6,-0.2,0.4,1.1,allengr01
8,Jarrett Allen,C,23,CLE,56,1810,23.0,.698,.018,.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.0,8.5,.224,,2.7,1.2,3.9,2.7,allenja01
9,Jose Alvarado,PG,23,NOP,54,834,16.4,.520,.374,.180,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,,1.0,1.1,2.1,.121,,-0.5,2.4,1.9,0.8,alvarjo01
10,Justin Anderson,SF,28,TOT,16,316,10.4,.493,.621,.200,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,.054,,-1.9,-1.3,-3.2,-0.1,anderju01
11,Kyle Anderson,PF,28,MEM,69,1484,14.4,.506,.232,.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,,1.0,2.5,3.5,.113,,-0.9,2.1,1.2,1.2,anderky01
12,Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,.633,.194,.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,,9.2,3.7,12.9,.281,,7.6,3.5,11.2,7.4,antetgi01
13,Thanasis Antetokounmpo,SF,29,MIL,48,473,12.5,.577,.109,.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,,0.4,0.5,0.9,.095,,-3.5,-0.1,-3.5,-0.2,antetth01
14,Carmelo Anthony,PF,37,LAL,69,1793,14.8,.579,.549,.220,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,.097,,0.4,-0.8,-0.5,0.7,anthoca01
15,Cole Anthony,PG,21,ORL,65,2059,13.5,.519,.429,.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,.038,,-0.6,-0.6,-1.2,0.4,anthoco01
16,OG Anunoby,SF,24,TOR,48,1728,14.8,.549,.455,.169,4.4,12.6,8.3,11.0,2.1,1.4,9.7,20.5,,1.8,1.9,3.7,.104,,0.4,0.1,0.5,1.1,anunoog01
17,Ryan Arcidiacono,PG,27,NYK,10,76,6.1,.667,.750,.000,0.0,11.5,5.7,7.5,0.7,0.0,20.0,8.6,,0.0,0.1,0.1,.052,,-4.6,0.0,-4.6,-0.1,arcidry01
18,Trevor Ariza,SF,36,LAL,24,462,7.0,.449,.747,.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11.0,,-0.2,0.4,0.2,.020,,-3.3,-0.2,-3.4,-0.2,arizatr01
19,D.J. Augustin,PG,34,TOT,55,883,9.7,.610,.739,.194,1.4,7.0,4.2,16.8,0.9,0.1,18.9,14.3,,0.7,0.1,0.8,.043,,-1.2,-2.4,-3.6,-0.4,augusdj01
20,Deni Avdija,SF,21,WAS,82,1984,11.6,.536,.447,.235,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,,0.6,1.8,2.4,.058,,-2.1,0.4,-1.7,0.1,avdijde01
21,Joel Ayayi,SG,21,WAS,7,20,3.4,.167,.167,.000,5.6,10.9,8.3,25.4,0.0,0.0,0.0,13.3,,0.0,0.0,0.0,-0.098,,-4.3,-1.7,-6.0,0.0,ayayijo01
22,Deandre Ayton,C,23,PHO,58,1713,21.9,.656,.027,.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,,4.1,3.1,7.3,.203,,2.2,0.6,2.8,2.1,aytonde01
23,Udoka Azubuike,C,22,UTA,17,195,17.6,.743,.000,.224,10.5,28.8,19.9,0.0,0.3,5.0,18.2,14.7,,0.3,0.3,0.6,.157,,-1.8,0.4,-1.4,0.0,azubuud01
24,Marvin Bagley III,PF,22,TOT,48,1153,15.7,.551,.217,.226,9.7,22.6,16.0,5.2,0.9,1.4,7.4,19.8,,1.2,0.9,2.0,.084,,-0.5,-1.8,-2.3,-0.1,baglema01
25,LaMelo Ball,PG,20,CHO,75,2422,19.7,.554,.451,.194,4.7,17.4,11.0,35.7,2.4,1.2,15.3,28.2,,3.4,2.5,5.8,.116,,3.3,0.1,3.4,3.3,ballla01
26,Lonzo Ball,PG,24,CHI,35,1212,14.5,.575,.679,.073,3.3,14.3,8.8,20.0,2.6,2.2,17.2,17.4,,0.8,1.4,2.2,.088,,0.9,1.6,2.5,1.4,balllo01
27,Mo Bamba,C,23,ORL,71,1824,16.5,.582,.455,.118,8.5,24.6,16.5,7.4,1.0,5.9,10.6,17.2,,1.8,2.7,4.5,.118,,-0.2,0.9,0.7,1.2,bambamo01
28,Desmond Bane,SG,23,MEM,76,2266,17.6,.592,.475,.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,,4.5,2.7,7.2,.153,,2.5,0.3,2.7,2.7,banede01
29,Dalano Banton,PG,22,TOR,64,696,10.0,.463,.252,.218,5.6,14.1,9.7,19.8,2.0,1.4,19.3,16.9,,-0.4,0.8,0.4,.030,,-3.5,0.4,-3.1,-0.2,bantoda01
30,Cat Barber,PG,27,ATL,3,13,-11.2,.000,.000,1.000,8.5,16.7,12.6,26.7,0.0,0.0,14.8,22.7,,-0.1,0.0,-0.1,-0.450,,-15.8,-7.6,-23.5,-0.1,barbeca01
31,Harrison Barnes,PF,29,SAC,77,2580,15.7,.623,.432,.495,3.4,14.9,9.1,10.5,1.0,0.5,10.4,18.8,,5.0,1.0,6.0,.112,,1.5,-1.3,0.2,1.4,barneha02
32,Scottie Barnes,PF,20,TOR,74,2617,16.3,.552,.207,.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19.0,,3.7,2.9,6.6,.122,,0.5,0.4,0.9,1.9,barnesc01
33,RJ Barrett,SF,21,NYK,70,2417,13.7,.511,.338,.340,2.9,15.5,9.1,14.9,0.9,0.7,9.9,27.6,,0.1,2.2,2.3,.046,,-0.3,-1.3,-1.6,0.2,barrerj01
34,Will Barton,SG,31,DEN,71,2277,13.4,.548,.480,.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.2,1.9,3.2,.067,,0.4,-0.9,-0.5,0.9,bartowi01
35,Paris Bass,SF,26,PHO,2,7,13.9,.436,.333,.333,31.5,29.9,30.6,0.0,6.9,0.0,22.5,54.6,,0.0,0.0,0.0,-0.170,,-11.2,-1.2,-12.4,0.0,basspa01
36,Charles Bassey,C,21,PHI,23,168,21.5,.660,.085,.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,,0.4,0.3,0.8,.220,,-0.4,2.1,1.7,0.2,bassech01
37,Keita Bates-Diop,SF,26,SAS,59,957,12.4,.578,.209,.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,,0.6,1.0,1.6,.080,,-2.1,-0.5,-2.6,-0.1,bateske01
38,Nicolas Batum,PF,33,LAC,59,1463,13.5,.608,.698,.098,2.2,15.8,9.2,9.7,1.9,2.4,9.0,13.3,,1.6,2.1,3.7,.123,,0.5,1.9,2.3,1.6,batumni01
39,Kent Bazemore,SF,32,LAL,39,545,6.0,.451,.576,.122,2.6,11.0,6.8,8.1,2.2,1.5,12.5,13.2,,-0.4,0.5,0.1,.006,,-5.1,0.8,-4.3,-0.3,bazemke01
40,Darius Bazley,PF,21,OKC,69,1924,12.6,.515,.414,.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,,-0.5,2.2,1.8,.044,,-2.1,0.3,-1.8,0.1,bazleda01
41,Bradley Beal,SG,28,WAS,40,1439,17.5,.539,.272,.263,3.0,11.4,7.3,30.8,1.2,0.9,13.6,30.8,,0.6,0.7,1.4,.046,,2.0,-1.2,0.8,1.0,bealbr01
42,Malik Beasley,SG,25,MIN,79,1976,11.9,.544,.749,.071,1.4,11.2,6.2,8.5,1.0,0.6,4.7,19.4,,1.7,1.2,2.9,.069,,0.7,-1.5,-0.7,0.7,beaslma01
43,Jordan Bell,C,27,CHI,1,2,29.9,,,,56.6,0.0,28.1,0.0,24.4,0.0,,0.0,,0.0,0.0,0.0,.600,,-8.1,10.8,2.7,0.0,belljo01
44,DeAndre' Bembry,SF,27,TOT,56,1026,11.9,.601,.163,.158,4.6,12.5,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,.104,,-2.2,1.5,-0.7,0.3,bembrde01
45,Dāvis Bertāns,PF,29,TOT,56,806,9.4,.531,.836,.145,1.7,14.3,8.0,5.5,1.0,1.3,6.1,17.3,,0.2,0.7,0.9,.053,,-1.7,-0.9,-2.6,-0.1,bertada01
46,Patrick Beverley,PG,33,MIN,58,1476,14.8,.539,.555,.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,,2.3,1.7,4.1,.132,,0.6,2.1,2.7,1.7,beverpa01
47,Saddiq Bey,SF,22,DET,82,2704,14.0,.529,.537,.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,,2.4,1.6,4.0,.071,,0.9,-1.2,-0.3,1.2,beysa01
48,Khem Birch,C,29,TOR,55,991,13.2,.534,.070,.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,,1.5,1.1,2.6,.126,,-1.7,0.4,-1.3,0.2,birchkh01
49,Goga Bitadze,C,22,IND,50,729,18.0,.595,.317,.373,11.9,15.3,13.5,11.2,1.4,5.0,13.6,19.9,,1.3,0.6,1.9,.122,,-0.2,-0.6,-0.8,0.2,bitadgo01
50,Bismack Biyombo,C,29,PHO,36,506,17.3,.596,.000,.490,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,,0.9,0.9,1.8,.170,,-1.7,0.4,-1.3,0.1,biyombi01
51,Nemanja Bjelica,C,33,GSW,71,1143,14.2,.573,.436,.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,,1.0,2.1,3.0,.128,,-0.9,2.3,1.4,1.0,bjeline01
52,Eric Bledsoe,PG,32,LAC,54,1361,12.5,.514,.348,.250,2.2,11.6,7.1,24.1,2.5,1.2,18.3,20.5,,-0.5,1.8,1.3,.047,,-2.1,1.3,-0.8,0.4,bledser01
53,Keljin Blevins,SF,26,POR,31,349,4.8,.410,.649,.099,4.9,9.5,7.1,7.7,1.8,0.3,12.8,16.5,,-0.6,0.1,-0.5,-0.066,,-5.6,-2.9,-8.5,-0.6,blevike01
54,Bogdan Bogdanović,SG,29,ATL,63,1848,15.4,.562,.578,.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,,2.5,1.2,3.7,.095,,1.5,-0.2,1.3,1.5,bogdabo01
55,Bojan Bogdanović,PF,32,UTA,69,2131,15.7,.599,.504,.280,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,,3.6,1.6,5.2,.118,,1.6,-1.6,0.0,1.1,bogdabo02
56,Bol Bol,PF,22,DEN,14,81,13.5,.565,.148,.185,5.7,21.4,13.8,9.1,0.6,2.2,12.0,18.0,,0.0,0.1,0.1,.065,,-0.5,-0.4,-1.0,0.0,bolbo01
57,Leandro Bolmaro,SF,21,MIN,35,241,5.4,.419,.333,.241,6.9,12.3,9.6,11.0,1.2,0.0,17.9,12.6,,-0.1,0.2,0.0,.004,,-5.1,-0.7,-5.8,-0.2,bolmale01
58,Isaac Bonga,SF,22,TOR,15,69,8.7,.363,.308,.615,6.0,5.0,5.5,7.3,5.8,2.8,10.8,11.5,,-0.1,0.1,0.1,.060,,-5.4,5.0,-0.4,0.0,bongais01
59,Devin Booker,SG,25,PHO,68,2345,21.3,.576,.336,.255,2.1,13.2,7.8,22.4,1.6,1.0,9.3,32.0,,4.3,3.3,7.6,.156,,3.9,0.2,4.1,3.6,bookede01
60,Brandon Boston Jr.,SG,20,LAC,51,760,11.2,.481,.342,.222,2.4,12.7,7.7,10.1,1.7,1.5,8.0,22.4,,-0.5,0.9,0.4,.026,,-3.0,-0.4,-3.3,-0.3,bostobr01
61,Chris Boucher,SF,29,TOR,80,1690,17.9,.570,.397,.334,10.9,21.3,15.8,2.2,1.4,4.3,6.0,17.8,,3.5,2.4,6.0,.169,,0.5,-0.4,0.1,0.9,bouchch01
62,James Bouknight,SG,21,CHO,31,304,10.1,.459,.348,.220,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,,-0.1,0.1,0.0,.001,,-3.4,-3.7,-7.1,-0.4,bouknja01
63,Avery Bradley,SG,31,LAL,62,1406,7.8,.550,.600,.051,2.4,8.0,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,.040,,-3.5,-0.1,-3.6,-0.6,bradlav01
64,Tony Bradley,C,24,CHI,55,549,14.9,.600,.000,.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,,0.6,0.7,1.3,.112,,-2.0,0.2,-1.8,0.0,bradlto01
65,Ignas Brazdeikis,SF,23,ORL,42,536,10.2,.520,.463,.170,4.5,9.7,7.1,10.7,0.9,0.5,7.8,17.7,,0.2,0.3,0.5,.041,,-2.7,-1.6,-4.3,-0.3,brazdig01
66,Mikal Bridges,SF,25,PHO,82,2854,14.4,.627,.364,.183,2.9,10.0,6.5,8.7,1.6,1.1,6.8,15.0,,5.2,3.7,8.9,.150,,0.5,1.1,1.6,2.6,bridgmi01
67,Miles Bridges,PF,23,CHO,80,2837,17.9,.593,.383,.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,,5.0,2.3,7.2,.123,,1.8,-0.3,1.5,2.5,bridgmi02
68,Oshae Brissett,SF,23,IND,67,1564,12.9,.530,.468,.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,,1.4,0.9,2.2,.069,,-0.5,-1.7,-2.2,-0.1,brissos01
69,Malcolm Brogdon,PG,29,IND,36,1206,18.0,.557,.343,.308,3.0,14.3,8.6,26.9,1.2,1.0,11.1,24.6,,2.2,0.4,2.7,.106,,2.8,-0.5,2.3,1.3,brogdma01
70,Armoni Brooks,SG-PG,23,TOT,54,844,8.4,.483,.862,.073,2.5,10.9,6.7,10.4,1.6,1.2,8.3,16.4,,-0.1,0.4,0.2,.014,,-2.6,-1.3,-3.9,-0.4,brookar01
71,Dillon Brooks,SF,26,MEM,32,885,15.5,.515,.283,.202,3.4,8.8,6.0,15.4,1.9,0.8,8.0,28.8,,0.7,0.9,1.6,.087,,-1.0,-0.8,-1.8,0.0,brookdi01
72,Bruce Brown,SF,25,BRK,72,1774,15.0,.575,.186,.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15.0,,2.8,2.0,4.8,.130,,-0.4,1.1,0.7,1.2,brownbr01
73,Charlie Brown Jr.,SG,24,TOT,22,178,6.5,.346,.308,.256,9.0,11.2,10.1,4.5,2.8,2.0,10.3,12.3,,-0.2,0.2,0.0,.012,,-5.2,0.4,-4.8,-0.1,brownch02
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,104,6.4,.447,.563,.188,1.1,15.7,8.4,5.1,0.9,0.0,2.8,14.9,,0.0,0.0,0.0,.002,,-4.3,-2.4,-6.6,-0.1,brownch05
75,Greg Brown III,SF,20,POR,48,640,11.0,.515,.321,.342,6.3,17.3,11.6,8.1,2.0,3.7,14.1,17.2,,-0.1,0.5,0.4,.029,,-4.0,-0.7,-4.7,-0.4,browngr01
76,Jaylen Brown,SF,25,BOS,66,2220,18.9,.574,.381,.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,,2.3,3.4,5.8,.124,,1.9,0.1,2.1,2.2,brownja02
77,Moses Brown,C,22,TOT,40,344,18.5,.612,.000,.667,12.7,30.5,21.7,0.4,1.0,4.2,12.5,20.7,,0.5,0.7,1.2,.161,,-2.4,-0.9,-3.3,-0.1,brownmo01
78,Sterling Brown,SG,26,DAL,49,628,8.4,.495,.594,.097,4.6,21.8,13.2,7.5,1.1,1.0,12.5,13.2,,-0.1,0.9,0.8,.061,,-3.4,0.5,-2.9,-0.1,brownst02
79,Troy Brown Jr.,SF,22,CHI,66,1055,10.1,.525,.516,.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,,0.5,0.9,1.4,.065,,-1.7,-0.2,-1.8,0.1,browntr01
80,Jalen Brunson,SG,25,DAL,79,2524,17.1,.583,.250,.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,,4.9,2.7,7.5,.143,,0.9,0.0,0.9,1.9,brunsja01
81,Thomas Bryant,C,24,WAS,27,439,16.6,.607,.284,.270,6.7,20.4,13.6,7.9,0.7,4.1,10.3,18.7,,0.7,0.4,1.1,.118,,-0.4,-0.7,-1.0,0.1,bryanth01
82,Shaq Buchanan,SG,25,MEM,2,10,0.6,.250,.500,.000,10.2,10.7,10.5,24.9,4.8,0.0,33.3,24.6,,-0.1,0.0,0.0,-0.230,,-11.0,0.3,-10.7,0.0,buchash01
83,Reggie Bullock,SF,30,DAL,68,1902,9.2,.558,.782,.096,1.9,12.2,7.0,6.1,1.1,0.7,7.1,13.3,,1.2,2.0,3.2,.080,,-1.4,0.0,-1.4,0.3,bullore01
84,Trey Burke,PG,29,DAL,42,441,10.0,.475,.381,.107,1.0,7.3,4.2,20.7,1.4,0.0,10.4,25.6,,-0.4,0.4,0.0,.003,,-3.6,-1.4,-5.0,-0.3,burketr01
85,Alec Burks,SG,30,NYK,81,2318,13.7,.559,.534,.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,,3.2,2.9,6.1,.126,,-0.4,1.2,0.8,1.7,burksal01
86,Jared Butler,SG,21,UTA,42,360,12.1,.509,.583,.106,1.6,11.8,6.8,26.0,2.3,2.0,17.3,23.1,,0.0,0.5,0.4,.057,,-2.3,0.7,-1.6,0.0,butleja02
87,Jimmy Butler,SF,32,MIA,57,1931,23.6,.592,.140,.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,,6.2,2.9,9.2,.228,,4.5,1.9,6.3,4.0,butleji01
88,Devontae Cacok,PF,25,SAS,15,121,20.2,.675,.000,.226,6.9,29.7,18.2,6.9,3.2,4.9,8.1,12.9,,0.3,0.3,0.5,.206,,0.7,3.5,4.2,0.2,cacokde01
89,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,12.6,.568,.492,.186,2.0,10.3,6.2,9.1,1.8,0.9,9.8,19.0,,1.4,1.4,2.8,.058,,-0.9,-0.6,-1.5,0.3,caldwke01
90,Facundo Campazzo,PG,30,DEN,65,1184,11.1,.503,.652,.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,,0.6,1.3,2.0,.081,,-2.1,1.3,-0.8,0.4,campafa01
91,Vlatko Čančar,PF,24,DEN,15,176,12.7,.657,.293,.341,5.2,14.1,9.8,13.2,0.6,1.5,16.0,14.0,,0.3,0.1,0.4,.114,,-0.9,-0.9,-1.7,0.0,cancavl01
92,Devin Cannady,PG,25,ORL,5,145,8.6,.531,.841,.159,0.7,3.7,2.2,10.0,1.7,1.9,9.6,15.5,,0.0,0.1,0.1,.033,,-2.8,-0.4,-3.2,0.0,cannade01
93,Clint Capela,C,27,ATL,74,2042,21.4,.604,.002,.280,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,,5.6,2.7,8.3,.195,,2.1,-0.1,2.0,2.1,capelca01
94,Vernon Carey Jr.,C,20,TOT,7,44,15.8,.534,.000,1.000,19.9,9.8,14.8,0.0,2.2,1.9,13.8,21.6,,0.0,0.0,0.1,.068,,-3.0,-4.5,-7.5,-0.1,careyve01
95,Jevon Carter,PG,26,TOT,66,905,9.6,.531,.672,.071,1.7,11.2,6.6,14.0,1.3,1.4,11.5,14.0,,0.5,0.7,1.2,.062,,-1.8,-0.4,-2.2,-0.1,carteje01
96,Wendell Carter Jr.,PF,22,ORL,62,1852,18.4,.601,.313,.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,,2.6,2.4,5.0,.129,,1.0,0.6,1.6,1.7,cartewe01
97,Alex Caruso,SG,27,CHI,41,1147,11.7,.528,.492,.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,,0.7,1.2,2.0,.082,,-2.2,2.3,0.2,0.6,carusal01
98,Willie Cauley-Stein,C,28,TOT,20,183,8.3,.474,.057,.057,7.9,16.4,12.2,7.5,1.7,1.5,16.3,10.6,,0.0,0.3,0.2,.066,,-4.1,1.1,-3.0,0.0,caulewi01
99,Ahmad Caver,SG,25,IND,1,1,76.2,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,,0.0,0.0,0.0,1.204,,31.0,5.9,36.9,0.0,caverah01
100,Justin Champagnie,SF,20,TOR,36,281,13.6,.571,.418,.134,13.5,14.3,13.9,5.4,1.4,1.4,10.1,12.0,,0.5,0.3,0.8,.138,,-1.3,-0.7,-2.0,0.0,champju01
