index,Name,FA_Year,Contract,Age_x,eFG,PPG,APG,RPG,SPG,BPG,MPG,is_AllStar,is_AllNBA,ID,Pos,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
0,Wesley Matthews,2019,2564753.0,32.0,0.5071633237822349,12.173913043478262,2.318840579710145,2.463768115942029,0.782608695652174,0.2463768115942029,30.304347826086957,0.0,0.0,202083.0,SF-SG,1.1,1.5,2.7,0.062,-1.4,-0.5,-1.8,0.1,2018-19
87,Wesley Matthews,2015,17699435.25,28.0,0.5631648936170213,15.933333333333334,2.316666666666667,3.7,1.2833333333333334,0.16666666666666666,33.733333333333334,0.0,0.0,202083.0,SG,4.0,2.2,6.2,0.147,2.0,1.1,3.1,2.6,2014-15
1,Brook Lopez,2015,21165675.0,27.0,0.5131712259371833,17.166666666666668,0.6944444444444444,7.430555555555555,0.5972222222222222,1.75,29.166666666666668,0.0,0.0,201572.0,C,4.7,2.2,7.0,0.159,1.8,-0.7,1.2,1.6,2014-15
109,DeAndre Jordan,2015,21598556.25,26.0,0.7106741573033708,11.536585365853659,0.7439024390243902,14.951219512195122,0.9878048780487805,2.231707317073171,34.390243902439025,0.0,1.0,201599.0,C,7.4,5.4,12.8,0.217,2.2,0.7,2.9,3.5,2014-15
3,Markieff Morris,2015,8143323.5,25.0,0.4913636363636364,15.341463414634147,2.341463414634146,6.170731707317073,1.2317073170731707,0.47560975609756095,31.475609756097562,0.0,0.0,202693.0,PF,1.8,2.7,4.6,0.085,-0.5,0.2,-0.3,1.1,2014-15
4,Dwight Howard,2018,13410739.0,32.0,0.5559824368825467,16.62962962962963,1.2962962962962963,12.493827160493828,0.5925925925925926,1.617283950617284,30.40740740740741,0.0,0.0,2730.0,C,2.9,3.9,6.8,0.132,-0.3,0.1,-0.1,1.2,2017-18
47,Dwight Howard,2016,23752241.666666668,30.0,0.62,13.746478873239436,1.380281690140845,11.76056338028169,0.971830985915493,1.591549295774648,32.11267605633803,0.0,0.0,2730.0,C,3.5,3.1,6.6,0.138,0.3,-0.2,0.1,1.2,2015-16
5,Austin Rivers,2015,7055398.0,22.0,0.4485887096774194,6.973684210526316,2.039473684210526,2.0,0.631578947368421,0.18421052631578946,20.56578947368421,0.0,0.0,203085.0,SG,0.5,1.0,1.5,0.046,-2.5,-0.3,-2.8,-0.3,2014-15
5,Austin Rivers,2015,7055398.0,22.0,0.4485887096774194,6.973684210526316,2.039473684210526,2.0,0.631578947368421,0.18421052631578946,20.56578947368421,0.0,0.0,203085.0,SG,0.4,0.3,0.7,0.046,-2.5,-0.5,-3.0,-0.2,2014-15
5,Austin Rivers,2015,7055398.0,22.0,0.4485887096774194,6.973684210526316,2.039473684210526,2.0,0.631578947368421,0.18421052631578946,20.56578947368421,0.0,0.0,203085.0,SG,0.1,0.7,0.8,0.046,-2.5,-0.1,-2.7,-0.1,2014-15
22,Austin Rivers,2019,2174310.0,26.0,0.4965034965034965,8.131578947368421,2.1973684210526314,2.1315789473684212,0.618421052631579,0.3026315789473684,26.68421052631579,0.0,0.0,203085.0,SG,0.4,0.8,1.2,0.028,-3.3,-1.0,-4.3,-1.1,2018-19
56,Austin Rivers,2016,11993441.333333334,23.0,0.49806201550387597,8.850746268656716,1.4776119402985075,1.9402985074626866,0.7164179104477612,0.13432835820895522,21.850746268656717,0.0,0.0,203085.0,SG,0.6,1.3,1.9,0.063,-2.2,-0.5,-2.7,-0.2,2015-16
6,Wayne Ellington,2016,6135000.0,28.0,0.4741532976827095,7.7105263157894735,1.0921052631578947,2.289473684210526,0.631578947368421,0.06578947368421052,21.25,0.0,0.0,201961.0,SG,0.5,0.3,0.8,0.025,-1.5,-1.3,-2.8,-0.3,2015-16
161,Wayne Ellington,2015,3750000.0,27.0,0.4846029173419773,10.0,1.6153846153846154,3.230769230769231,0.5076923076923077,0.03076923076923077,25.76923076923077,0.0,0.0,201961.0,SG,1.1,0.1,1.2,0.034,-0.5,-1.8,-2.3,-0.1,2014-15
7,JaMychal Green,2019,4767000.0,29.0,0.5577731092436975,9.4,0.7692307692307693,6.292307692307692,0.6923076923076923,0.5230769230769231,21.092307692307692,0.0,0.0,203210.0,PF,0.9,1.9,2.9,0.101,-1.3,-0.4,-1.7,0.1,2018-19
28,JaMychal Green,2017,8300000.0,27.0,0.555,8.948051948051948,1.0909090909090908,7.064935064935065,0.6103896103896104,0.44155844155844154,27.285714285714285,0.0,0.0,203210.0,PF,3.2,2.6,5.8,0.132,-0.9,0.2,-0.8,0.6,2016-17
8,Kyle O'Quinn,2015,4051312.5,25.0,0.5165289256198347,5.764705882352941,1.1568627450980393,3.9019607843137254,0.6078431372549019,0.7647058823529411,16.15686274509804,0.0,0.0,203124.0,PF,0.5,1.1,1.6,0.091,-1.7,1.5,-0.3,0.4,2014-15
11,Langston Galloway,2017,7000000.0,25.0,0.48990825688073397,7.905405405405405,1.2567567567567568,2.108108108108108,0.6216216216216216,0.08108108108108109,20.18918918918919,0.0,0.0,204038.0,PG,0.2,1.1,1.3,0.04,-1.5,-0.7,-2.3,-0.1,2016-17
80,Langston Galloway,2016,5933333.5,24.0,0.4583333333333333,7.621951219512195,2.524390243902439,3.5121951219512195,0.9390243902439024,0.2682926829268293,24.79268292682927,0.0,0.0,204038.0,PG,1.4,1.8,3.3,0.077,-1.7,0.7,-1.0,0.5,2015-16
12,Solomon Hill,2016,12500000.0,25.0,0.5048076923076923,4.169491525423729,0.9661016949152542,2.8135593220338984,0.6271186440677966,0.1864406779661017,14.677966101694915,0.0,0.0,203524.0,SF,0.8,1.3,2.1,0.117,-1.1,1.2,0.1,0.5,2015-16
13,Glenn Robinson III,2015,1224935.0,21.0,0.4253731343283582,2.085714285714286,0.3142857142857143,1.1142857142857143,0.17142857142857143,0.02857142857142857,7.457142857142857,0.0,0.0,203922.0,SG-SF,0.0,0.1,0.1,0.012,-3.0,-2.3,-5.4,-0.2,2014-15
13,Glenn Robinson III,2015,1224935.0,21.0,0.4253731343283582,2.085714285714286,0.3142857142857143,1.1142857142857143,0.17142857142857143,0.02857142857142857,7.457142857142857,0.0,0.0,203922.0,SG,0.0,0.0,0.0,0.009,-3.2,-2.2,-5.4,-0.1,2014-15
13,Glenn Robinson III,2015,1224935.0,21.0,0.4253731343283582,2.085714285714286,0.3142857142857143,1.1142857142857143,0.17142857142857143,0.02857142857142857,7.457142857142857,0.0,0.0,203922.0,SF,0.0,0.1,0.0,0.013,-2.9,-2.4,-5.4,-0.1,2014-15
14,Kyle Korver,2017,5708251.0,36.0,0.6213592233009708,10.119402985074627,1.6417910447761195,2.7761194029850746,0.5074626865671642,0.31343283582089554,26.16417910447761,0.0,0.0,2594.0,SG,2.3,1.3,3.7,0.1,0.5,-0.5,0.0,0.9,2016-17
171,Jared Dudley,2016,10000000.0,30.0,0.5811088295687885,7.8765432098765435,2.111111111111111,3.5308641975308643,0.9259259259259259,0.2222222222222222,25.901234567901234,0.0,0.0,201162.0,PF,2.6,2.0,4.6,0.105,-0.8,0.7,-0.1,1.0,2015-16
16,Pat Connaughton,2018,1682025.0,25.0,0.517948717948718,5.378048780487805,1.1097560975609757,1.9634146341463414,0.2804878048780488,0.2682926829268293,18.146341463414632,0.0,0.0,1626192.0,SG,1.2,1.3,2.5,0.08,-1.7,-0.1,-1.8,0.1,2017-18
17,Kyle Lowry,2017,31633333.33333333,31.0,0.5691721132897604,22.4,6.95,4.766666666666667,1.4666666666666666,0.31666666666666665,37.4,1.0,0.0,200768.0,PG,7.8,2.3,10.1,0.216,5.8,0.4,6.1,4.6,2016-17
18,Alec Burks,2015,10375000.0,23.0,0.44666666666666666,13.851851851851851,3.037037037037037,4.222222222222222,0.6296296296296297,0.18518518518518517,33.2962962962963,0.0,0.0,202692.0,SG,1.1,0.6,1.7,0.089,-0.5,-1.2,-1.7,0.1,2014-15
19,Thabo Sefolosha,2017,5250000.0,33.0,0.49240506329113926,7.161290322580645,1.7258064516129032,4.354838709677419,1.5483870967741935,0.5,25.741935483870968,0.0,0.0,200757.0,SF,0.6,2.7,3.3,0.098,-2.1,2.5,0.4,1.0,2016-17
21,Nicolas Batum,2016,23217391.5,27.0,0.5057273768613975,14.942857142857143,5.757142857142857,6.114285714285714,0.9285714285714286,0.6142857142857143,34.97142857142857,0.0,0.0,201587.0,SF,2.0,2.9,5.0,0.097,1.1,0.1,1.2,2.0,2015-16
23,Julius Randle,2018,13320500.0,23.0,0.5630530973451328,16.134146341463413,2.5609756097560976,7.975609756097561,0.524390243902439,0.5487804878048781,26.70731707317073,0.0,0.0,203944.0,C,4.0,2.6,6.6,0.145,0.6,0.0,0.6,1.4,2017-18
24,Garrett Temple,2016,8000000.0,30.0,0.4861386138613861,7.275,1.75,2.65,0.8625,0.225,24.3875,0.0,0.0,202066.0,SF,1.0,1.7,2.7,0.066,-2.5,0.4,-2.1,0.0,2015-16
25,Montrezl Harrell,2018,6000000.0,24.0,0.6359489051094891,11.0,0.9736842105263158,4.026315789473684,0.47368421052631576,0.6842105263157895,17.013157894736842,0.0,0.0,1626149.0,C,4.3,1.3,5.5,0.205,3.1,0.2,3.3,1.7,2017-18
26,Kentavious Caldwell-Pope,2019,8139282.0,26.0,0.5297619047619048,11.439024390243903,1.3414634146341464,2.902439024390244,0.8902439024390244,0.15853658536585366,24.817073170731707,0.0,0.0,203484.0,SG,2.3,1.8,4.0,0.095,-0.3,-0.1,-0.5,0.8,2018-19
27,Patrick McCaw,2018,2482052.0,22.0,0.45111111111111113,4.017543859649122,1.4210526315789473,1.4385964912280702,0.7543859649122807,0.17543859649122806,16.859649122807017,0.0,0.0,1627775.0,SG,-0.3,0.8,0.6,0.029,-4.3,0.1,-4.1,-0.5,2017-18
95,E'Twaun Moore,2016,8680000.0,27.0,0.5411311053984575,7.508474576271187,1.6779661016949152,2.2542372881355934,0.6271186440677966,0.3050847457627119,21.406779661016948,0.0,0.0,202734.0,SG,0.9,1.0,1.8,0.07,-1.9,0.0,-1.9,0.0,2015-16
51,Al Horford,2016,27800803.75,30.0,0.5467557251908397,15.231707317073171,3.207317073170732,7.2682926829268295,0.8292682926829268,1.475609756097561,32.08536585365854,1.0,0.0,201143.0,C,4.9,4.5,9.4,0.172,2.2,1.6,3.8,3.9,2015-16
32,Kawhi Leonard,2015,21754050.8,24.0,0.5200729927007299,16.515625,2.515625,7.203125,2.3125,0.75,31.765625,0.0,0.0,202695.0,SF,4.2,4.4,8.6,0.204,2.8,3.1,5.9,4.1,2014-15
73,Kevin Love,2015,23311776.0,26.0,0.509453781512605,16.373333333333335,2.24,9.746666666666666,0.68,0.52,33.76,0.0,0.0,201567.0,PF,5.8,2.9,8.7,0.165,3.2,-0.4,2.7,3.0,2014-15
145,Tyson Chandler,2015,13000000.0,32.0,0.6659090909090909,10.28,1.12,11.52,0.56,1.2133333333333334,30.48,0.0,0.0,2199.0,C,7.2,3.1,10.3,0.216,2.4,0.2,2.6,2.7,2014-15
38,Matthew Dellavedova,2016,9607500.0,25.0,0.5009784735812133,7.4868421052631575,4.434210526315789,2.1315789473684212,0.5789473684210527,0.11842105263157894,24.56578947368421,0.0,0.0,203521.0,PG,2.2,1.6,3.8,0.098,-0.7,-0.5,-1.2,0.4,2015-16
136,Avery Bradley,2019,4767000.0,28.0,0.4786184210526316,9.920634920634921,2.4126984126984126,2.7777777777777777,0.6507936507936508,0.25396825396825395,30.238095238095237,0.0,0.0,202340.0,SG,-0.6,1.0,0.3,0.009,-2.8,-0.9,-3.7,-0.8,2018-19
167,Avery Bradley,2018,8383500.0,27.0,0.4744,14.26086956521739,2.0434782608695654,2.5217391304347827,1.108695652173913,0.17391304347826086,31.152173913043477,0.0,0.0,202340.0,SG,-1.4,1.2,-0.2,-0.007,-3.0,-1.0,-4.0,-0.7,2017-18
40,Will Barton,2015,3533333.0,24.0,0.45750708215297453,6.844827586206897,1.396551724137931,2.793103448275862,0.8275862068965517,0.3275862068965517,16.96551724137931,0.0,0.0,203115.0,SG,0.2,1.1,1.3,0.063,-1.2,1.1,-0.2,0.4,2014-15
40,Will Barton,2015,3533333.0,24.0,0.45750708215297453,6.844827586206897,1.396551724137931,2.793103448275862,0.8275862068965517,0.3275862068965517,16.96551724137931,0.0,0.0,203115.0,SG,-0.4,0.4,0.0,0.002,-4.7,1.4,-3.3,-0.1,2014-15
40,Will Barton,2015,3533333.0,24.0,0.45750708215297453,6.844827586206897,1.396551724137931,2.793103448275862,0.8275862068965517,0.3275862068965517,16.96551724137931,0.0,0.0,203115.0,SG,0.6,0.7,1.3,0.089,0.3,0.9,1.2,0.5,2014-15
41,Cory Joseph,2015,7472500.0,23.0,0.5231143552311436,6.772151898734177,2.3797468354430378,2.430379746835443,0.5822784810126582,0.21518987341772153,18.27848101265823,0.0,0.0,202709.0,PG,2.7,1.8,4.5,0.149,0.2,1.3,1.4,1.2,2014-15
44,Quinn Cook,2017,867391.5,24.0,0.5833333333333334,5.642857142857143,1.8571428571428572,0.5,0.2857142857142857,0.0,13.357142857142858,0.0,0.0,1626188.0,PG,0.1,0.1,0.2,0.047,-1.6,-1.5,-3.1,-0.1,2016-17
135,Quinn Cook,2019,3000000.0,26.0,0.5569476082004556,6.878378378378378,1.5675675675675675,2.1216216216216215,0.2702702702702703,0.04054054054054054,14.31081081081081,0.0,0.0,1626188.0,PG,1.0,0.8,1.8,0.082,-0.5,-1.6,-2.1,0.0,2018-19
144,Quinn Cook,2017,867391.5,24.0,0.5833333333333334,5.642857142857143,1.8571428571428572,0.5,0.2857142857142857,0.0,13.357142857142858,0.0,0.0,1626188.0,PG,0.1,0.1,0.2,0.047,-1.6,-1.5,-3.1,-0.1,2016-17
45,Rudy Gay,2017,9246600.0,30.0,0.502262443438914,18.733333333333334,2.7666666666666666,6.333333333333333,1.4666666666666666,0.8666666666666667,33.766666666666666,0.0,0.0,200752.0,SF,0.8,1.0,1.8,0.087,1.4,0.5,1.9,1.0,2016-17
137,Rudy Gay,2015,11380811.333333334,28.0,0.4905913978494624,21.058823529411764,3.676470588235294,5.867647058823529,1.0441176470588236,0.6029411764705882,35.411764705882355,0.0,0.0,200752.0,SF,4.8,1.3,6.1,0.122,3.4,-0.7,2.7,2.9,2014-15
46,Kent Bazemore,2016,17500000.0,26.0,0.516551724137931,11.626666666666667,2.28,5.053333333333334,1.3066666666666666,0.5066666666666667,27.773333333333333,0.0,0.0,203145.0,SF,0.3,3.8,4.1,0.094,-1.2,1.5,0.3,1.2,2015-16
48,Paul Millsap,2017,30116666.666666668,32.0,0.4809670781893004,18.057971014492754,3.652173913043478,7.72463768115942,1.3043478260869565,0.8985507246376812,33.95652173913044,1.0,0.0,200794.0,PF,2.6,3.8,6.4,0.132,0.8,1.3,2.1,2.4,2016-17
96,Paul Millsap,2015,23170974.33333333,30.0,0.5177419354838709,16.684931506849313,3.0547945205479454,7.808219178082192,1.7808219178082192,0.9452054794520548,32.73972602739726,1.0,0.0,200794.0,PF,4.0,4.3,8.3,0.166,1.7,1.7,3.4,3.3,2014-15
49,Rodney Hood,2019,5718000.0,26.0,0.4977645305514158,11.180555555555555,1.75,2.1805555555555554,0.8194444444444444,0.16666666666666666,26.291666666666668,0.0,0.0,203918.0,SG,2.1,0.5,2.6,0.065,-1.2,-0.8,-2.0,0.0,2018-19
50,LaMarcus Aldridge,2015,21018007.5,29.0,0.4787985865724382,23.3943661971831,1.7464788732394365,10.225352112676056,0.676056338028169,0.9577464788732394,35.38028169014085,1.0,1.0,200746.0,PF,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1,2014-15
52,Marc Gasol,2015,22642350.0,30.0,0.49580223880597013,17.444444444444443,3.7901234567901234,7.777777777777778,0.8641975308641975,1.617283950617284,33.17283950617284,1.0,1.0,201188.0,C,5.5,4.7,10.2,0.182,2.7,2.4,5.1,4.8,2014-15
54,Danny Green,2015,10000000.0,28.0,0.5657181571815718,11.679012345679013,1.9506172839506173,4.234567901234568,1.2469135802469136,1.0740740740740742,28.530864197530864,0.0,0.0,201980.0,SG,4.0,3.9,7.8,0.163,2.6,2.0,4.6,3.8,2014-15
116,Gordon Hayward,2017,31214295.0,27.0,0.5358996539792388,21.931506849315067,3.452054794520548,5.397260273972603,1.0,0.273972602739726,34.465753424657535,1.0,0.0,202330.0,SF,7.1,3.3,10.4,0.199,4.6,0.5,5.0,4.5,2016-17
57,Spencer Dinwiddie,2016,1125488.5,23.0,0.3611111111111111,4.833333333333333,1.8333333333333333,1.4166666666666667,0.25,0.0,13.25,0.0,0.0,203915.0,PG,0.0,0.1,0.1,0.028,-4.6,-0.6,-5.2,-0.1,2015-16
65,Spencer Dinwiddie,2016,1302356.3333333333,23.0,0.3611111111111111,4.833333333333333,1.8333333333333333,1.4166666666666667,0.25,0.0,13.25,0.0,0.0,203915.0,PG,0.0,0.1,0.1,0.028,-4.6,-0.6,-5.2,-0.1,2015-16
58,Rajon Rondo,2019,2564753.0,33.0,0.46412037037037035,9.217391304347826,7.978260869565218,5.282608695652174,1.2391304347826086,0.15217391304347827,29.76086956521739,0.0,0.0,200765.0,PG,-0.2,1.5,1.3,0.047,-1.7,0.2,-1.5,0.2,2018-19
154,Rajon Rondo,2016,10150000.0,30.0,0.4936061381074169,11.930555555555555,11.652777777777779,6.041666666666667,1.9583333333333333,0.1388888888888889,35.236111111111114,0.0,0.0,200765.0,PG,2.3,2.3,4.6,0.087,1.0,0.0,1.0,1.9,2015-16
59,Jimmy Butler,2015,21048050.8,25.0,0.5016447368421053,20.015384615384615,3.2615384615384615,5.8307692307692305,1.7538461538461538,0.5538461538461539,38.66153846153846,1.0,0.0,202710.0,SG,8.2,3.0,11.2,0.214,3.4,1.2,4.6,4.2,2014-15
61,Joe Harris,2016,1252368.0,24.0,0.375,0.6,0.4,0.6,0.0,0.0,3.0,0.0,0.0,203925.0,SG,0.0,0.0,0.0,-0.032,-5.0,-0.9,-5.9,0.0,2015-16
174,Joe Harris,2018,8000000.0,26.0,0.6119162640901772,10.846153846153847,1.641025641025641,3.3333333333333335,0.44871794871794873,0.2564102564102564,25.32051282051282,0.0,0.0,203925.0,SG,3.0,0.9,4.0,0.097,0.7,-0.6,0.1,1.0,2017-18
153,George Hill,2017,16377969.0,31.0,0.5544554455445545,16.918367346938776,4.163265306122449,3.4081632653061225,1.0204081632653061,0.22448979591836735,31.510204081632654,0.0,0.0,201588.0,PG,4.0,1.9,5.9,0.182,3.0,0.8,3.8,2.3,2016-17
63,Mike Muscala,2017,5000000.0,25.0,0.5727002967359051,6.214285714285714,1.3571428571428572,3.4285714285714284,0.42857142857142855,0.5857142857142857,17.67142857142857,0.0,0.0,203488.0,C,1.8,1.6,3.4,0.132,-0.1,1.2,1.1,1.0,2016-17
64,Jeremy Lamb,2016,7000000.0,24.0,0.5058823529411764,8.787878787878787,1.1666666666666667,3.8181818181818183,0.6363636363636364,0.45454545454545453,18.59090909090909,0.0,0.0,203087.0,SG,1.0,1.8,2.7,0.107,0.1,0.7,0.8,0.9,2015-16
67,Jahlil Okafor,2018,1634746.5,22.0,0.5615942028985508,6.285714285714286,0.42857142857142855,3.0357142857142856,0.10714285714285714,0.6428571428571429,12.607142857142858,0.0,0.0,1626143.0,C,0.3,0.3,0.6,0.083,-1.8,0.0,-1.7,0.0,2017-18
68,Wilson Chandler,2015,11625000.0,28.0,0.5,13.91025641025641,1.7179487179487178,6.089743589743589,0.7435897435897436,0.3717948717948718,31.67948717948718,0.0,0.0,201163.0,SF,2.1,1.5,3.6,0.071,0.2,-0.7,-0.6,0.9,2014-15
71,Russell Westbrook,2016,30168166.33333333,27.0,0.48926592797783935,23.475,10.425,7.825,2.0375,0.25,34.3625,1.0,1.0,201566.0,PG,10.0,4.0,14.0,0.245,6.4,1.4,7.8,6.8,2015-16
72,Nerlens Noel,2018,1820148.0,24.0,0.5238095238095238,4.366666666666666,0.6666666666666666,5.6,1.0333333333333334,0.7333333333333333,15.733333333333333,0.0,0.0,203457.0,C,0.4,1.0,1.3,0.135,-2.2,2.7,0.5,0.3,2017-18
74,Tobias Harris,2015,16000000.0,22.0,0.5115911485774499,17.11764705882353,1.8235294117647058,6.323529411764706,1.0147058823529411,0.5294117647058824,34.838235294117645,0.0,0.0,202699.0,SF,3.0,1.8,4.8,0.098,1.1,-0.6,0.5,1.5,2014-15
75,Bismack Biyombo,2015,9907000.0,22.0,0.543010752688172,4.75,0.25,6.359375,0.28125,1.546875,19.421875,0.0,0.0,202687.0,C,1.8,2.2,4.0,0.156,-2.4,1.3,-1.1,0.3,2014-15
118,Bismack Biyombo,2016,17000000.0,23.0,0.5416666666666666,5.536585365853658,0.35365853658536583,7.987804878048781,0.23170731707317074,1.6219512195121952,22.048780487804876,0.0,0.0,202687.0,C,2.8,3.1,5.9,0.156,-1.3,1.1,-0.2,0.8,2015-16
76,Terrence Ross,2016,10333333.333333334,25.0,0.5359424920127795,9.863013698630137,0.7671232876712328,2.5342465753424657,0.7397260273972602,0.3424657534246575,23.931506849315067,0.0,0.0,203082.0,SF,2.1,1.6,3.6,0.1,0.6,-0.3,0.3,1.0,2015-16
78,Dwight Powell,2016,9317187.5,24.0,0.4966216216216216,5.782608695652174,0.6376811594202898,3.9565217391304346,0.5217391304347826,0.34782608695652173,14.376811594202898,0.0,0.0,203939.0,PF,1.8,1.3,3.1,0.151,-0.6,0.7,0.1,0.5,2015-16
79,Kevin Durant,2016,25770050.0,27.0,0.5727733526430123,28.180555555555557,5.013888888888889,8.180555555555555,0.9583333333333334,1.1805555555555556,35.80555555555556,1.0,1.0,201142.0,SF,11.0,3.5,14.5,0.27,8.4,1.6,9.9,7.8,2015-16
99,Kevin Durant,2018,33599500.0,29.0,0.5863338788870703,26.352941176470587,5.382352941176471,6.823529411764706,0.7352941176470589,1.75,34.19117647058823,1.0,1.0,201142.0,SF,7.5,2.9,10.4,0.215,6.7,0.6,7.3,5.5,2017-18
191,Kevin Durant,2017,27500000.0,28.0,0.5940545808966862,25.080645161290324,4.838709677419355,8.274193548387096,1.064516129032258,1.596774193548387,33.38709677419355,1.0,1.0,201142.0,PF,8.0,4.0,12.0,0.278,6.7,2.2,8.9,5.7,2016-17
82,Jeff Teague,2017,19000000.0,29.0,0.49174917491749176,15.292682926829269,7.7926829268292686,4.024390243902439,1.2195121951219512,0.3902439024390244,32.40243902439025,0.0,0.0,201952.0,PG,5.7,2.4,8.1,0.146,2.3,-0.1,2.2,2.8,2016-17
83,Kenneth Faried,2015,12619684.25,25.0,0.5074728260869565,12.613333333333333,1.1866666666666668,8.906666666666666,0.8266666666666667,0.76,27.813333333333333,0.0,0.0,202702.0,PF,3.5,2.1,5.6,0.13,0.6,-0.7,-0.1,1.0,2014-15
84,Ben McLemore,2017,5330000.0,24.0,0.5071599045346062,8.114754098360656,0.8360655737704918,2.1147540983606556,0.47540983606557374,0.09836065573770492,19.278688524590162,0.0,0.0,203463.0,SG,-0.1,0.5,0.4,0.015,-2.5,-1.7,-4.2,-0.6,2016-17
