Tm,Season,Name,Season_start,is_AllNBA
1st,2023-24,Nikola Jokic,2023,1
2nd,2023-24,Anthony Davis,2023,1
3rd,2023-24,LeBron James,2023,1
1st,2022-23,Joel Embiid,2022,1
2nd,2022-23,Nikola Jokic,2022,1
3rd,2022-23,Domantas Sabonis,2022,1
1st,2021-22,Nikola Jokic,2021,1
2nd,2021-22,Joel Embiid,2021,1
3rd,2021-22,Karl-Anthony Towns,2021,1
1st,2020-21,Nikola Jokic,2020,1
2nd,2020-21,Joel Embiid,2020,1
3rd,2020-21,Rudy Gobert,2020,1
1st,2019-20,Anthony Davis,2019,1
2nd,2019-20,Nikola Jokic,2019,1
3rd,2019-20,Rudy Gobert,2019,1
1st,2018-19,Nikola Jokic,2018,1
2nd,2018-19,Joel Embiid,2018,1
3rd,2018-19,Rudy Gobert,2018,1
1st,2017-18,Anthony Davis,2017,1
2nd,2017-18,Joel Embiid,2017,1
3rd,2017-18,Karl-Anthony Towns,2017,1
1st,2016-17,Anthony Davis,2016,1
2nd,2016-17,Rudy Gobert,2016,1
3rd,2016-17,DeAndre Jordan,2016,1
1st,2015-16,DeAndre Jordan,2015,1
2nd,2015-16,DeMarcus Cousins,2015,1
3rd,2015-16,Andre Drummond,2015,1
1st,2014-15,Marc Gasol,2014,1
2nd,2014-15,DeMarcus Cousins,2014,1
3rd,2014-15,DeAndre Jordan,2014,1
1st,2013-14,Joakim Noah,2013,1
2nd,2013-14,Dwight Howard,2013,1
3rd,2013-14,Al Jefferson,2013,1
1st,2012-13,Tim Duncan,2012,1
2nd,2012-13,Marc Gasol,2012,1
3rd,2012-13,Dwight Howard,2012,1
1st,2011-12,Dwight Howard,2011,1
2nd,2011-12,Andrew Bynum,2011,1
3rd,2011-12,Tyson Chandler,2011,1
1st,2010-11,Dwight Howard,2010,1
2nd,2010-11,Amar'e Stoudemire,2010,1
3rd,2010-11,Al Horford,2010,1
1st,2023-24,Giannis Antetokounmpo,2023,1
2nd,2023-24,Kevin Durant,2023,1
3rd,2023-24,Domantas Sabonis,2023,1
1st,2022-23,Giannis Antetokounmpo,2022,1
2nd,2022-23,Jimmy Butler,2022,1
3rd,2022-23,LeBron James,2022,1
1st,2021-22,Giannis Antetokounmpo,2021,1
2nd,2021-22,Kevin Durant,2021,1
3rd,2021-22,LeBron James,2021,1
1st,2020-21,Giannis Antetokounmpo,2020,1
2nd,2020-21,Julius Randle,2020,1
3rd,2020-21,Jimmy Butler,2020,1
1st,2019-20,Giannis Antetokounmpo,2019,1
2nd,2019-20,Kawhi Leonard,2019,1
3rd,2019-20,Jayson Tatum,2019,1
1st,2018-19,Giannis Antetokounmpo,2018,1
2nd,2018-19,Kevin Durant,2018,1
3rd,2018-19,LeBron James,2018,1
1st,2017-18,LeBron James,2017,1
2nd,2017-18,Giannis Antetokounmpo,2017,1
3rd,2017-18,Jimmy Butler,2017,1
1st,2016-17,LeBron James,2016,1
2nd,2016-17,Giannis Antetokounmpo,2016,1
3rd,2016-17,Draymond Green,2016,1
1st,2015-16,LeBron James,2015,1
2nd,2015-16,Kevin Durant,2015,1
3rd,2015-16,Paul George,2015,1
1st,2014-15,LeBron James,2014,1
2nd,2014-15,Pau Gasol,2014,1
3rd,2014-15,Blake Griffin,2014,1
1st,2013-14,Kevin Durant,2013,1
2nd,2013-14,Blake Griffin,2013,1
3rd,2013-14,Paul George,2013,1
1st,2012-13,Kevin Durant,2012,1
2nd,2012-13,Carmelo Anthony,2012,1
3rd,2012-13,Paul George,2012,1
1st,2011-12,Kevin Durant,2011,1
2nd,2011-12,Blake Griffin,2011,1
3rd,2011-12,Carmelo Anthony,2011,1
1st,2010-11,Kevin Durant,2010,1
2nd,2010-11,Pau Gasol,2010,1
3rd,2010-11,LaMarcus Aldridge,2010,1
1st,2023-24,Jayson Tatum,2023,1
2nd,2023-24,Kawhi Leonard,2023,1
3rd,2023-24,Devin Booker,2023,1
1st,2022-23,Jayson Tatum,2022,1
2nd,2022-23,Jaylen Brown,2022,1
3rd,2022-23,Julius Randle,2022,1
1st,2021-22,Jayson Tatum,2021,1
2nd,2021-22,DeMar DeRozan,2021,1
3rd,2021-22,Pascal Siakam,2021,1
1st,2020-21,Kawhi Leonard,2020,1
2nd,2020-21,LeBron James,2020,1
3rd,2020-21,Paul George,2020,1
1st,2019-20,LeBron James,2019,1
2nd,2019-20,Pascal Siakam,2019,1
3rd,2019-20,Jimmy Butler,2019,1
1st,2018-19,Paul George,2018,1
2nd,2018-19,Kawhi Leonard,2018,1
3rd,2018-19,Blake Griffin,2018,1
1st,2017-18,Kevin Durant,2017,1
2nd,2017-18,LaMarcus Aldridge,2017,1
3rd,2017-18,Paul George,2017,1
1st,2016-17,Kawhi Leonard,2016,1
2nd,2016-17,Kevin Durant,2016,1
3rd,2016-17,Jimmy Butler,2016,1
1st,2015-16,Kawhi Leonard,2015,1
2nd,2015-16,Draymond Green,2015,1
3rd,2015-16,LaMarcus Aldridge,2015,1
1st,2014-15,Anthony Davis,2014,1
2nd,2014-15,LaMarcus Aldridge,2014,1
3rd,2014-15,Tim Duncan,2014,1
1st,2013-14,LeBron James,2013,1
2nd,2013-14,Kevin Love,2013,1
3rd,2013-14,LaMarcus Aldridge,2013,1
1st,2012-13,LeBron James,2012,1
2nd,2012-13,Blake Griffin,2012,1
3rd,2012-13,David Lee,2012,1
1st,2011-12,LeBron James,2011,1
2nd,2011-12,Kevin Love,2011,1
3rd,2011-12,Dirk Nowitzki,2011,1
1st,2010-11,LeBron James,2010,1
2nd,2010-11,Dirk Nowitzki,2010,1
3rd,2010-11,Zach Randolph,2010,1
1st,2023-24,Luka Doncic,2023,1
2nd,2023-24,Jalen Brunson,2023,1
3rd,2023-24,Stephen Curry,2023,1
1st,2022-23,Luka Doncic,2022,1
2nd,2022-23,Donovan Mitchell,2022,1
3rd,2022-23,De'Aaron Fox,2022,1
1st,2021-22,Luka Doncic,2021,1
2nd,2021-22,Ja Morant,2021,1
3rd,2021-22,Chris Paul,2021,1
1st,2020-21,Stephen Curry,2020,1
2nd,2020-21,Chris Paul,2020,1
3rd,2020-21,Bradley Beal,2020,1
1st,2019-20,James Harden,2019,1
2nd,2019-20,Damian Lillard,2019,1
3rd,2019-20,Ben Simmons,2019,1
1st,2018-19,James Harden,2018,1
2nd,2018-19,Damian Lillard,2018,1
3rd,2018-19,Kemba Walker,2018,1
1st,2017-18,Damian Lillard,2017,1
2nd,2017-18,Russell Westbrook,2017,1
3rd,2017-18,Stephen Curry,2017,1
1st,2016-17,James Harden,2016,1
2nd,2016-17,Stephen Curry,2016,1
3rd,2016-17,John Wall,2016,1
1st,2015-16,Stephen Curry,2015,1
2nd,2015-16,Chris Paul,2015,1
3rd,2015-16,Klay Thompson,2015,1
1st,2014-15,Stephen Curry,2014,1
2nd,2014-15,Russell Westbrook,2014,1
3rd,2014-15,Klay Thompson,2014,1
1st,2013-14,James Harden,2013,1
2nd,2013-14,Stephen Curry,2013,1
3rd,2013-14,Goran Dragić,2013,1
1st,2012-13,Kobe Bryant,2012,1
2nd,2012-13,Tony Parker,2012,1
3rd,2012-13,James Harden,2012,1
1st,2011-12,Kobe Bryant,2011,1
2nd,2011-12,Tony Parker,2011,1
3rd,2011-12,Rajon Rondo,2011,1
1st,2010-11,Kobe Bryant,2010,1
2nd,2010-11,Dwyane Wade,2010,1
3rd,2010-11,Manu Ginóbili,2010,1
1st,2023-24,Shai Gilgeous-Alexander,2023,1
2nd,2023-24,Anthony Edwards,2023,1
3rd,2023-24,Tyrese Haliburton,2023,1
1st,2022-23,Shai Gilgeous-Alexander,2022,1
2nd,2022-23,Stephen Curry,2022,1
3rd,2022-23,Damian Lillard,2022,1
1st,2021-22,Devin Booker,2021,1
2nd,2021-22,Stephen Curry,2021,1
3rd,2021-22,Trae Young,2021,1
1st,2020-21,Luka Doncic,2020,1
2nd,2020-21,Damian Lillard,2020,1
3rd,2020-21,Kyrie Irving,2020,1
1st,2019-20,Luka Doncic,2019,1
2nd,2019-20,Chris Paul,2019,1
3rd,2019-20,Russell Westbrook,2019,1
1st,2018-19,Stephen Curry,2018,1
2nd,2018-19,Kyrie Irving,2018,1
3rd,2018-19,Russell Westbrook,2018,1
1st,2017-18,James Harden,2017,1
2nd,2017-18,DeMar DeRozan,2017,1
3rd,2017-18,Victor Oladipo,2017,1
1st,2016-17,Russell Westbrook,2016,1
2nd,2016-17,Isaiah Thomas,2016,1
3rd,2016-17,DeMar DeRozan,2016,1
1st,2015-16,Russell Westbrook,2015,1
2nd,2015-16,Damian Lillard,2015,1
3rd,2015-16,Kyle Lowry,2015,1
1st,2014-15,James Harden,2014,1
2nd,2014-15,Chris Paul,2014,1
3rd,2014-15,Kyrie Irving,2014,1
1st,2013-14,Chris Paul,2013,1
2nd,2013-14,Tony Parker,2013,1
3rd,2013-14,Damian Lillard,2013,1
1st,2012-13,Chris Paul,2012,1
2nd,2012-13,Russell Westbrook,2012,1
3rd,2012-13,Dwyane Wade,2012,1
1st,2011-12,Chris Paul,2011,1
2nd,2011-12,Russell Westbrook,2011,1
3rd,2011-12,Dwyane Wade,2011,1
1st,2010-11,Derrick Rose,2010,1
2nd,2010-11,Russell Westbrook,2010,1
3rd,2010-11,Chris Paul,2010,1
