Season,Lg,Tm,Voting,P1,P2,P3,P4,P5
2023-24,NBA,1st,(V),Nikola Jokić C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Shai Gilgeous-Alexander G
2023-24,NBA,2nd,(V),Anthony Davis C,Kevin Durant F,Kawhi Leonard F,Jalen Brunson G,Anthony Edwards G
2023-24,NBA,3rd,(V),LeBron James F,Domantas Sabonis F,Devin Booker G,Stephen Curry G,Tyrese Haliburton G
2022-23,NBA,1st,(V),Joel Embiid C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Shai Gilgeous-Alexander G
2022-23,NBA,2nd,(V),Nikola Jokić C,Jimmy Butler F,Jaylen Brown F,Donovan Mitchell G,Stephen Curry G
2022-23,NBA,3rd,(V),Domantas Sabonis C,LeBron James F,Julius Randle F,De'Aaron Fox G,Damian Lillard G
2021-22,NBA,1st,(V),Nikola Jokić C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Devin Booker G
2021-22,NBA,2nd,(V),Joel Embiid C,Kevin Durant F,DeMar DeRozan F,Ja Morant G,Stephen Curry G
2021-22,NBA,3rd,(V),Karl-Anthony Towns C,LeBron James F,Pascal Siakam F,Chris Paul G,Trae Young G
2020-21,NBA,1st,(V),Nikola Jokić C,Giannis Antetokounmpo F,Kawhi Leonard F,Stephen Curry G,Luka Dončić G
2020-21,NBA,2nd,(V),Joel Embiid C,Julius Randle F,LeBron James F,Chris Paul G,Damian Lillard G
2020-21,NBA,3rd,(V),Rudy Gobert C,Jimmy Butler F,Paul George F,Bradley Beal G,Kyrie Irving G
2019-20,NBA,1st,(V),Anthony Davis C,Giannis Antetokounmpo F,LeBron James F,James Harden G,Luka Dončić G
2019-20,NBA,2nd,(V),Nikola Jokić C,Kawhi Leonard F,Pascal Siakam F,Damian Lillard G,Chris Paul G
2019-20,NBA,3rd,(V),Rudy Gobert C,Jayson Tatum F,Jimmy Butler F,Ben Simmons G,Russell Westbrook G
2018-19,NBA,1st,(V),Nikola Jokić C,Giannis Antetokounmpo F,Paul George F,James Harden G,Stephen Curry G
2018-19,NBA,2nd,(V),Joel Embiid C,Kevin Durant F,Kawhi Leonard F,Damian Lillard G,Kyrie Irving G
2018-19,NBA,3rd,(V),Rudy Gobert C,LeBron James F,Blake Griffin F,Kemba Walker G,Russell Westbrook G
2017-18,NBA,1st,(V),Anthony Davis C,LeBron James F,Kevin Durant F,Damian Lillard G,James Harden G
2017-18,NBA,2nd,(V),Joel Embiid C,Giannis Antetokounmpo F,LaMarcus Aldridge F,Russell Westbrook G,DeMar DeRozan G
2017-18,NBA,3rd,(V),Karl-Anthony Towns C,Jimmy Butler F,Paul George F,Stephen Curry G,Victor Oladipo G
2016-17,NBA,1st,(V),Anthony Davis C,LeBron James F,Kawhi Leonard F,James Harden G,Russell Westbrook G
2016-17,NBA,2nd,(V),Rudy Gobert C,Giannis Antetokounmpo F,Kevin Durant F,Stephen Curry G,Isaiah Thomas G
2016-17,NBA,3rd,(V),DeAndre Jordan C,Draymond Green F,Jimmy Butler F,John Wall G,DeMar DeRozan G
2015-16,NBA,1st,(V),DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G
2015-16,NBA,2nd,(V),DeMarcus Cousins C,Kevin Durant F,Draymond Green F,Chris Paul G,Damian Lillard G
2015-16,NBA,3rd,(V),Andre Drummond C,Paul George F,LaMarcus Aldridge F,Klay Thompson G,Kyle Lowry G
2014-15,NBA,1st,(V),Marc Gasol C,LeBron James F,Anthony Davis F,Stephen Curry G,James Harden G
2014-15,NBA,2nd,(V),DeMarcus Cousins C,Pau Gasol C,LaMarcus Aldridge F,Russell Westbrook G,Chris Paul G
2014-15,NBA,3rd,(V),DeAndre Jordan C,Blake Griffin F,Tim Duncan F,Klay Thompson G,Kyrie Irving G
2013-14,NBA,1st,(V),Joakim Noah C,Kevin Durant F,LeBron James F,James Harden G,Chris Paul G
2013-14,NBA,2nd,(V),Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G
2013-14,NBA,3rd,(V),Al Jefferson C,Paul George F,LaMarcus Aldridge F,Goran Dragić G,Damian Lillard G
2012-13,NBA,1st,(V),Tim Duncan C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2012-13,NBA,2nd,(V),Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G
2012-13,NBA,3rd,(V),Dwight Howard C,Paul George F,David Lee F,James Harden G,Dwyane Wade G
2011-12,NBA,1st,(V),Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2011-12,NBA,2nd,(V),Andrew Bynum C,Blake Griffin F,Kevin Love F,Tony Parker G,Russell Westbrook G
2011-12,NBA,3rd,(V),Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G
2010-11,NBA,1st,(V),Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Derrick Rose G
2010-11,NBA,2nd,(V),Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Dwyane Wade G,Russell Westbrook G
2010-11,NBA,3rd,(V),Al Horford C,LaMarcus Aldridge F,Zach Randolph F,Manu Ginóbili G,Chris Paul G