FreeAgent,Position,Contract,FA_Year,Years,AVG_SALARY
Anthony Davis,PF,190000000.0,2020,5.0,38000000.0
Brandon Ingram,SF,158000000.0,2020,5.0,31600000.0
Fred VanVleet,PG,85000000.0,2020,4.0,21250000.0
Gordon Hayward,SF,120000000.0,2020,4.0,30000000.0
Bogdan Bogdanovic,SG,72000000.0,2020,4.0,18000000.0
Christian Wood,PF,41000000.0,2020,3.0,13666666.666666666
Joe Harris,SF,75000000.0,2020,4.0,18750000.0
Danilo Gallinari,PF,61500000.0,2020,3.0,20500000.0
Goran Dragic,PG,37400000.0,2020,2.0,18700000.0
Jerami Grant,PF,60000000.0,2020,3.0,20000000.0
Davis Bertans,PF,80000000.0,2020,5.0,16000000.0
Montrezl Harrell,C,19000000.0,2020,2.0,9500000.0
Marcus Morris,PF,64000000.0,2020,4.0,16000000.0
Serge Ibaka,C,19000000.0,2020,2.0,9500000.0
Marc Gasol,C,5300000.0,2020,2.0,2650000.0
Kentavious Caldwell-Pope,SG,40000000.0,2020,3.0,13333333.333333334
De'Anthony Melton,SG,35000000.0,2020,4.0,8750000.0
Paul Millsap,PF,10000000.0,2020,1.0,10000000.0
Malik Beasley,SG,60000000.0,2020,4.0,15000000.0
Jakob Poeltl,C,27000000.0,2020,3.0,9000000.0
Aron Baynes,C,14300000.0,2020,2.0,7150000.0
Tristan Thompson,C,19000000.0,2020,2.0,9500000.0
Jae Crowder,PF,30000000.0,2020,3.0,10000000.0
Justin Holiday,SF,18100000.0,2020,3.0,6033333.333333333
Derrick Favors,C,27000000.0,2020,3.0,9000000.0
Juancho Hernangomez,PF,21000000.0,2020,3.0,7000000.0
Kent Bazemore,SF,2300000.0,2020,1.0,2300000.0
Dario Saric,C,27000000.0,2020,3.0,9000000.0
Jordan Clarkson,SG,52000000.0,2020,4.0,13000000.0
Derrick Jones Jr.,PF,19000000.0,2020,2.0,9500000.0
Wesley Matthews,SG,3600000.0,2020,1.0,3600000.0
Rajon Rondo,PG,15000000.0,2020,2.0,7500000.0
JaMychal Green,PF,15000000.0,2020,2.0,7500000.0
Rodney Hood,SF,21000000.0,2020,2.0,10500000.0
Maurice Harkless,PF,3600000.0,2020,1.0,3600000.0
Elfrid Payton,PG,5000000.0,2020,1.0,5000000.0
D.J. Augustin,PG,21000000.0,2020,3.0,7000000.0
Avery Bradley,PG,11600000.0,2020,2.0,5800000.0
Kris Dunn,PG,10000000.0,2020,2.0,5000000.0
Mason Plumlee,C,25000000.0,2020,3.0,8333333.333333333
Dwight Howard,C,2600000.0,2020,1.0,2600000.0
Garrett Temple,SG,5000000.0,2020,1.0,5000000.0
E'Twaun Moore,SG,2400000.0,2020,1.0,2400000.0
Brad Wanamaker,PG,2250000.0,2020,1.0,2250000.0
Raul Neto,PG,1800000.0,2020,1.0,1800000.0
Alec Burks,SG,6000000.0,2020,1.0,6000000.0
Willie Cauley-Stein,C,8199999.999999999,2020,2.0,4099999.9999999995
Chris Boucher,C,13500000.0,2020,2.0,6750000.0
Drew Eubanks,C,5290000.0,2020,3.0,1763333.3333333333
John Konchar,SF,9000000.0,2020,4.0,2250000.0
Pat Connaughton,SG,16000000.0,2020,3.0,5333333.333333333
Bobby Portis,C,7500000.0,2020,2.0,3750000.0
Meyers Leonard,C,20000000.0,2020,2.0,10000000.0
Denzel Valentine,SF,4700000.0,2020,1.0,4700000.0
Jared Dudley,PF,2600000.0,2020,1.0,2600000.0
Damyean Dotson,SG,4000000.0,2020,2.0,2000000.0
Kyrie Irving,PG,126000000.0,2023,3.0,42000000.0
Khris Middleton,SF,102000000.0,2023,3.0,34000000.0
Fred VanVleet,PG,130000000.0,2023,3.0,43333333.333333336
Draymond Green,PF,100000000.0,2023,4.0,25000000.0
Jerami Grant,PF,160000000.0,2023,5.0,32000000.0
Brook Lopez,C,48000000.0,2023,2.0,24000000.0
Kyle Kuzma,PF,102000000.0,2023,4.0,25500000.0
Jakob Poeltl,C,80000000.0,2023,4.0,20000000.0
Austin Reaves,SG,56000000.0,2023,4.0,14000000.0
Cameron Johnson,PF,108000000.0,2023,4.0,27000000.0
Bruce Brown,SF,45000000.0,2023,2.0,22500000.0
D'Angelo Russell,PG,37000000.0,2023,2.0,18500000.0
Russell Westbrook,PG,8000000.0,2023,2.0,4000000.0
Dillon Brooks,SF,80000000.0,2023,4.0,20000000.0
Max Strus,SG,63000000.0,2023,4.0,15750000.0
Donte DiVincenzo,SG,50000000.0,2023,4.0,12500000.0
Herbert Jones,SF,54000000.0,2023,4.0,13500000.0
Gabe Vincent,PG,33000000.0,2023,3.0,11000000.0
Rui Hachimura,PF,51000000.0,2023,3.0,17000000.0
Caris LeVert,SG,32000000.0,2023,2.0,16000000.0
Seth Curry,SG,8000000.0,2023,2.0,4000000.0
Grant Williams,PF,54000000.0,2023,4.0,13500000.0
Mason Plumlee,C,5000000.0,2023,1.0,5000000.0
Dennis Schroder,PG,26000000.0,2023,2.0,13000000.0
Josh Richardson,SF,6000000.0,2023,2.0,3000000.0
Jalen McDaniels,PF,9300000.0,2023,2.0,4650000.0
Coby White,PG,33000000.0,2023,3.0,11000000.0
Keita Bates-Diop,SF,5000000.0,2023,2.0,2500000.0
Taurean Prince,SF,4500000.0,2023,1.0,4500000.0
Troy Brown Jr.,SF,8000000.0,2023,2.0,4000000.0
Reggie Jackson,PG,10300000.0,2023,2.0,5150000.0
Trey Lyles,PF,16000000.0,2023,2.0,8000000.0
Nickeil Alexander-Walker,SG,9000000.0,2023,2.0,4500000.0
Jevon Carter,PG,20000000.0,2023,3.0,6666666.666666667
Georges Niang,PF,26000000.0,2023,3.0,8666666.666666666
Tre Jones,PG,20000000.0,2023,2.0,10000000.0
Joe Ingles,SF,22000000.0,2023,2.0,11000000.0
Shake Milton,PG,10000000.0,2023,2.0,5000000.0
Derrick Rose,PG,6500000.0,2023,2.0,3250000.0
Thomas Bryant,C,5400000.0,2023,2.0,2700000.0
Patrick Beverley,PG,3200000.0,2023,1.0,3200000.0
Moe Wagner,C,16000000.0,2023,2.0,8000000.0
Ty Jerome,SG,5000000.0,2023,2.0,2500000.0
Jock Landale,C,32000000.0,2023,4.0,8000000.0
Jalen McDaniels,SF,9300000.0,2023,2.0,4650000.0
Sandro Mamukelashvili,C,2000000.0,2023,1.0,2000000.0
Jeff Green,PF,6000000.0,2023,1.0,6000000.0
Jordan Clarkson,PG,55000000.0,2023,3.0,18333333.333333332
Miles Bridges,PF,7900000.0,2023,1.0,7900000.0
Cody Zeller,C,3100000.0,2023,1.0,3100000.0
Nerlens Noel,C,3100000.0,2023,1.0,3100000.0
Kawhi Leonard,SF,176300000.0,2021,4.0,44075000.0
Chris Paul,PG,120000000.0,2021,4.0,30000000.0
Kyle Lowry,PG,90000000.0,2021,3.0,30000000.0
Mike Conley,PG,74000000.0,2021,3.0,24666666.666666668
John Collins,PF,125000000.0,2021,5.0,25000000.0
DeMar DeRozan,SF,85000000.0,2021,3.0,28333333.333333332
Lonzo Ball,PG,85000000.0,2021,4.0,21250000.0
Norman Powell,SG,90000000.0,2021,5.0,18000000.0
Duncan Robinson,SF,90000000.0,2021,5.0,18000000.0
Spencer Dinwiddie,PG,62000000.0,2021,3.0,20666666.666666668
Evan Fournier,SG,78000000.0,2021,4.0,19500000.0
Devonte' Graham,PG,47000000.0,2021,4.0,11750000.0
Tim Hardaway Jr.,SG,72000000.0,2021,4.0,18000000.0
Jarrett Allen,C,100000000.0,2021,5.0,20000000.0
Kelly Oubre Jr.,SG,25000000.0,2021,2.0,12500000.0
Kemba Walker,PG,8000000.0,2021,1.0,8000000.0
Will Barton,SF,32000000.0,2021,2.0,16000000.0
Dennis Schroder,PG,5900000.0,2021,1.0,5900000.0
Gary Trent Jr.,SG,54000000.0,2021,3.0,18000000.0
Derrick Rose,PG,43000000.0,2021,3.0,14333333.333333334
Lauri Markkanen,PF,67000000.0,2021,4.0,16750000.0
Bruce Brown,UTIL,4700000.0,2021,1.0,4700000.0
Richaun Holmes,C,55000000.0,2021,4.0,13750000.0
Kelly Olynyk,C,37000000.0,2021,3.0,12333333.333333334
Alex Caruso,PG,37000000.0,2021,1.0,37000000.0
T.J. McConnell,PG,35200000.0,2021,4.0,8800000.0
Reggie Jackson,PG,22000000.0,2021,2.0,11000000.0
Daniel Theis,C,36000000.0,2021,4.0,9000000.0
Cameron Payne,PG,19000000.0,2021,3.0,6333333.333333333
Bobby Portis,C,9000000.0,2021,2.0,4500000.0
JaMychal Green,PF,17000000.0,2021,2.0,8500000.0
Reggie Bullock,SF,30500000.0,2021,3.0,10166666.666666666
Talen Horton-Tucker,SG,32000000.0,2021,3.0,10666666.666666666
Josh Hart,SF,38000000.0,2021,3.0,12666666.666666666
Kendrick Nunn,SG,10000000.0,2021,2.0,5000000.0
P.J. Tucker,PF,15000000.0,2021,2.0,7500000.0
Alec Burks,SG,30000000.0,2021,3.0,10000000.0
Doug McDermott,SF,42000000.0,2021,3.0,14000000.0
Jeff Green,PF,10000000.0,2021,2.0,5000000.0
Zach Collins,PF,22000000.0,2021,3.0,7333333.333333333
Patty Mills,PG,12000000.0,2021,2.0,6000000.0
Lou Williams,SG,5000000.0,2021,1.0,5000000.0
George Hill,PG,8000000.0,2021,2.0,4000000.0
Furkan Korkmaz,SG,15000000.0,2021,3.0,5000000.0
Nerlens Noel,C,32000000.0,2021,3.0,10666666.666666666
Khem Birch,C,20000000.0,2021,3.0,6666666.666666667
JaVale McGee,C,5000000.0,2021,1.0,5000000.0
Hamidou Diallo,SG,10400000.0,2021,2.0,5200000.0
Taj Gibson,C,2700000.0,2021,1.0,2700000.0
Gorgui Dieng,C,4000000.0,2021,1.0,4000000.0
Trey Lyles,PF,5000000.0,2021,2.0,2500000.0
Jarred Vanderbilt,PF,13800000.0,2021,3.0,4600000.0
Torrey Craig,SF,10000000.0,2021,2.0,5000000.0
Georges Niang,SF,6700000.0,2021,2.0,3350000.0
Robin Lopez,C,5000000.0,2021,1.0,5000000.0
Alex Len,C,7650000.0,2021,2.0,3825000.0
Cory Joseph,SG,10000000.0,2021,2.0,5000000.0
E'Twaun Moore,SG,2600000.0,2021,1.0,2600000.0
David Nwaba,SF,15000000.0,2021,3.0,5000000.0
Sterling Brown,SF,6200000.0,2021,2.0,3100000.0
Maurice Harkless,F,9000000.0,2021,2.0,4500000.0
Mike Muscala,F,7000000.0,2021,2.0,3500000.0
Max Strus,G,3500000.0,2021,2.0,1750000.0
Gabe Vincent,G,3500000.0,2021,2.0,1750000.0
Abdel Nader,SF,4200000.0,2021,2.0,2100000.0
Zach LaVine,SG,215200000.0,2022,5.0,43040000.0
Bradley Beal,SG,251000000.0,2022,5.0,50200000.0
James Harden,PG,68600000.0,2022,2.0,34300000.0
Deandre Ayton,C,133000000.0,2022,4.0,33250000.0
Jalen Brunson,PG,104000000.0,2022,4.0,26000000.0
Anfernee Simons,SG,100000000.0,2022,4.0,25000000.0
Mitchell Robinson,C,60000000.0,2022,4.0,15000000.0
Bobby Portis,PF,49000000.0,2022,4.0,12250000.0
Kyle Anderson,SF,18000000.0,2022,2.0,9000000.0
Jusuf Nurkic,C,70000000.0,2022,4.0,17500000.0
Tyus Jones,PG,30000000.0,2022,2.0,15000000.0
Gary Payton II,SG,28000000.0,2022,3.0,9333333.333333334
Mo Bamba,C,21000000.0,2022,2.0,10500000.0
P.J. Tucker,PF,33200000.000000004,2022,3.0,11066666.666666668
Victor Oladipo,SG,11000000.0,2022,1.0,11000000.0
Luguentz Dort,SF,87500000.0,2022,5.0,17500000.0
Malik Monk,SG,19000000.0,2022,2.0,9500000.0
Gary Harris,SG,26000000.0,2022,2.0,13000000.0
Nicolas Batum,PF,22000000.0,2022,2.0,11000000.0
Nicolas Claxton,PF,20000000.0,2022,2.0,10000000.0
Isaiah Hartenstein,C,16000000.0,2022,2.0,8000000.0
Kevon Looney,C,25500000.0,2022,3.0,8500000.0
John Wall,PG,13200000.0,2022,2.0,6600000.0
Donte DiVincenzo,SG,9300000.0,2022,2.0,4650000.0
Jae'Sean Tate,SF,22100000.0,2022,3.0,7366666.666666667
Chris Boucher,C,35300000.0,2022,3.0,11766666.666666666
JaVale McGee,C,20100000.0,2022,3.0,6700000.0
Marvin Bagley III,PF,37000000.0,2022,3.0,12333333.333333334
Joe Ingles,SG,6500000.0,2022,1.0,6500000.0
Danilo Gallinari,PF,13000000.0,2022,2.0,6500000.0
Thaddeus Young,PF,16000000.0,2022,2.0,8000000.0
Patty Mills,G,14500000.0,2022,2.0,7250000.0
Lonnie Walker IV,SF,6500000.0,2022,1.0,6500000.0
Dewayne Dedmon,C,9000000.0,2022,2.0,4500000.0
Amir Coffey,SG,11000000.0,2022,3.0,3666666.6666666665
Danuel House Jr.,SF,8500000.0,2022,2.0,4250000.0
Ricky Rubio,PG,18400000.0,2022,3.0,6133333.333333333
Kevin Knox II,SF,6000000.0,2022,2.0,3000000.0
Delon Wright,SG,16000000.0,2022,2.0,8000000.0
Bruce Brown,SF,13000000.0,2022,2.0,6500000.0
Andre Drummond,C,6600000.0,2022,2.0,3300000.0
Caleb Martin,SF,20000000.0,2022,3.0,6666666.666666667
Derrick Jones Jr.,SF,6600000.0,2022,2.0,3300000.0
Cody Martin,SG,32000000.0,2022,4.0,8000000.0
